title,portal,current_db_group,predicted_group,decided_by,needs_groq,nlp_gap
"PROCUREMENT AND SUPPLY OF 50M³ GALVANISED HOT PRESSED STEEL SECTIONAL AND 50 M³ (50,000 LITRE) FIBRE REINFORCED POLYMER (FRP) FOR POTABLE WATER TANKS",ungm,GOODS,GOODS,Layer 1,False,1.0
LRFPS -2026 -9203176 _ Implementation of Contextualized Sudan Gender-Based Violence (GBV) Prevention Toolkit,ungm,Others,CONSULTING,NLP,True,0.005
Invitacion a licitar para la Adquisición de barras de jabón,ungm,GOODS,GOODS,Layer 1,False,1.0
Invitacion a licitar para la Adquisición de kits de higiene,ungm,GOODS,GOODS,Layer 1,False,1.0
Provision of Consultancy Services to Deliver a Capacity Building Programme (Awareness Workshops) under the Project: “Promoting Busin ess Models for Increasing Penetration and Scaling Up of Solar Energy in India,ungm,CONSULTING,CONSULTING,Layer 1,False,1.0
AFG26EOI001 “Security guard services”,ungm,NON-CONSULTING,NON-CONSULTING,NLP,False,0.0396
MSMEs Pavilion at EXPO 2026,ungm,Others,NON-CONSULTING,NLP,True,0.0223
PROVISION OF EVENT MANAGEMENT SERVICES RELATING TO TWO BIC SOMALI INNOVATION FORUMS IN MOGADISHU AND HARGEISA (SOMALIA),ungm,CONSULTING,NON-CONSULTING,Layer 1,False,1.0
Supply and Delivery of Tablets and its accessories to UNHCR Representation Office in Kampala,ungm,GOODS,GOODS,Layer 1,False,1.0
"Supply, delivery and printing of IEC materials",ungm,GOODS,GOODS,NLP,False,0.1567
"Design and print the package for a factory-targeted programme, Responsible Electronics Project, International Labour Organization",ungm,CONSULTING,GOODS,NLP,False,0.0206
"LRFP -2026-9203158 Rehabilitation of Schools and PHCFs and construction of the Institutional WASH Facilities - THABAT/SOMOUD Project (River Nile, Northern & Kassala)",ungm,WORKS,WORKS,Layer 1,False,1.0
Achat de matériel pour le « Projet de renforcement de la conservation et de l’intégration du Parc National des Oiseaux du Djoudj (PNOD) dans son environnement socioéconomique (PRCID) »,ungm,GOODS,GOODS,Layer 1,False,1.0
"Appui administratif, logistique et la coordination de la mise en oeuvre du module migration intégré dans l’enquête sur la main d’oeuvre de 2025 /2026 (EMO’2026). MAROC",ungm,Others,CONSULTING,NLP,True,0.0016
"Déceloppement d’une section Communication intégrée dans la Stratégie Nationale de Mobilité Professionnelle Internationale (SNMPI), portée par le MIEPEEC",ungm,Others,NON-CONSULTING,NLP,True,0.0129
003- Suministro y entrega de productos de habitat,ungm,CONSULTING,GOODS,NLP,False,0.1497
Provision of Long-Term Storage of Tape Cartridges Facility,ungm,Others,GOODS,NLP,False,0.0469
"004- Servicios de transporte de carga y Almacenaje en los departamentos: Antioquia, Arauca, Caquetá, Cauca, Chocó, Córdoba, La Guajira, Nariño, Norte de Santander, Putumayo yValle del Cauca",ungm,CONSULTING,NON-CONSULTING,NLP,True,0.0046
Contrato Institucional para captação e edição de curso em vídeo sobre imunizações,ungm,Others,CONSULTING,NLP,True,0.0208
Web Platform Development for a Networking and Knowledge-Sharing Platform,ungm,CONSULTING,CONSULTING,NLP,True,0.0339
Supply of Mobile Phone Prepaid Top Up Cards for Staff,ungm,GOODS,GOODS,Layer 1,False,1.0
Conference & Accommodation Packages for the Young Women Leadership Training,ungm,Others,CONSULTING,NLP,True,0.0151
"Provision of Video Production and Photography Services for Coverage of UNFPA Executive Director’s Visit to PNG, Including 1.5-Minute Piece-to-Camera (22–25 April 2026)",ungm,Others,NON-CONSULTING,NLP,True,0.0336
RFQ- Catering Services for Spotlight Training of Trainers (TOT) W/Urban District,ungm,NON-CONSULTING,NON-CONSULTING,Layer 1,False,1.0
Conduct Assessment of the Socioeconomic Impacts of FMD Outbreaks on Livestock-Dependent Households and Value Chains in Jordan,ungm,CONSULTING,CONSULTING,NLP,True,0.0262
Long term Agreements (LTA) for Provision of Medical Services in Mogadishu - Soma,ungm,Others,NON-CONSULTING,NLP,True,0.0343
Purchase Maternity equipment and supplies for West Bank Hospitals; Rafidia. Alia & PMC for World Health Organization/Palestine,ungm,GOODS,GOODS,Layer 1,False,1.0
Construction of Battery Bank Cage and Fortification of the Bunker Roofs,ungm,WORKS,WORKS,Layer 1,False,1.0
(RFQ) to Provide Translation Services,ungm,NON-CONSULTING,NON-CONSULTING,Layer 1,False,1.0
Rehabilitation Works of WC Unit at Ramallah Boys School - Jerusalem Area #2 for Local Contractors only,ungm,WORKS,WORKS,Layer 1,False,1.0
Rehabilitation Works for Biddo & Qattana Schools - Jerusalem Area #2 for Local Contractors only,ungm,WORKS,WORKS,Layer 1,False,1.0
"ADQUISICION DE KITS DE MATERIALES PARA LA CONSTRUCCIÓN DE GALLINEROS PARA BENEFICIARIOS UBICADOS EN LOS DEPARTAMENTOS DE CHOLUTECA, VALLE, COMAYAGUA, EL PARAISO Y FRANCISCO MORAZAN",ungm,WORKS,GOODS,NLP,False,0.0555
Rehabilitation for Water Stations in Idleb Southern Rural - Three Lots,ungm,WORKS,WORKS,NLP,False,0.2195
"No. RFQ/HCR/PZU/2026/16 FOR THE SUPPLY, DELIVERY, INSTALLATION AND COMMISSIONING OF 220 KVA GENERATOR AND ATS SYSTEM FOR UNHCR GUESTHOUSE IN OMDURMAN KHARTOUM STATE",ungm,WORKS,WORKS,Layer 1,False,1.0
Contratación de Proveedor de artículos de librería - Oficina de la OIT en Asunción. Marzo 2026,ungm,Others,CONSULTING,NLP,True,0.0247
International Consultancy - review of updated SOPs for external employment,ungm,CONSULTING,CONSULTING,Layer 1,False,1.0
Event Management for Workers session in JORDAN Amman,ungm,NON-CONSULTING,NON-CONSULTING,NLP,False,0.0887
Security Services of United Nations Agencies based in Mindanao (LTA Establishment for 5+2 Years),ungm,NON-CONSULTING,CONSULTING,NLP,False,0.0359
"Quantitative Survey on Child Early & Forced Marriage & Union in Brooke’s Point, Palawan and Catbalogan, Samar",ungm,CONSULTING,CONSULTING,NLP,True,0.032
Kits humanitarios para asistencia de la OIM,ungm,GOODS,GOODS,NLP,False,0.0312
Servicio de Seguridad,ungm,Others,NON-CONSULTING,NLP,False,0.075
"Supply of 125,000 Litres of Diesel (Fuel) to International Organization for Migration Bentiu Office (South Sudan) - 2nd Half of 2026",ungm,GOODS,GOODS,Layer 1,False,1.0
136225 SUMINISTRO DE SEMILLAS PARA FORTALECIMIENTO DE SISTEMAS PRODUCTIVOS AGRÍCOLAS,ungm,GOODS,GOODS,Layer 1,False,1.0
L'appel d'offres pour l'achat de l’engrais NPK et de l’engrais Urée en Haïti,ungm,GOODS,GOODS,Layer 1,False,1.0
Compra de insumos de aseo y cafetería para Cali,ungm,GOODS,GOODS,NLP,False,0.0145
"ADQUISICION DE KITS DE SISTEMAS DE RIEGO DE 500m2 CON TANQUE ROTOPLAS Y ACESSORIOS PARA BENEFICIARIOS UBICADOS EN LOS DEPARTAMENTOS DE CHOLUTECA, VALLE, COMAYAGUA, EL PARAISO Y FRANCISCO MORAZAN",ungm,GOODS,GOODS,Layer 1,False,1.0
CONTRATACIÓN DE PÓLIZAS DE SEGURO PARA 28 AMBULANCIAS EQUIPADAS EN EL PERÚ,ungm,NON-CONSULTING,NON-CONSULTING,Layer 1,False,1.0
"ITB for the Supply ,Installation, Commissioning and Training of 600 & 350Mtr Water well drilling rig with tools and accessories for Ministry of Irrigation and Lowlands/MILS- Ethiopia",ungm,WORKS,WORKS,Layer 1,False,1.0
"ADQUISICION DE KITS DE MATERIALES PARA LA CONSTRUCCIÓN DE GALLINEROS PARA BENEFICIARIOS UBICADOS EN LOS DEPARTAMENTOS DE CHOLUTECA, VALLE, COMAYAGUA, EL PARAISO Y FRANCISCO MORAZAN",ungm,WORKS,GOODS,NLP,False,0.0555
"136224 EQUIPOS INDUSTRIALES, RIOSUCIO DEPARTAMENTO DE CALDAS",ungm,GOODS,GOODS,NLP,False,0.0254
Convocatoria de colaboradores externos para el Análisis del impacto potencial del Acuerdo UE–MERCOSUR en Paraguay y desarrollo de una hoja de ruta estratégica para la incidencia empresarial y la formulación de políticas públicas,ungm,Others,CONSULTING,Layer 1,False,1.0
"136221 EQUIPOS Y SUMINISTROS PARA AGROINDUSTRIA, META",ungm,GOODS,CONSULTING,NLP,True,0.016
"DAO 002/2026FRBKF - TRAVAUX DE REALISATION DE PERIMETRES IRRIGUES, A VOCATION MARAICHERE, DOTES DE FORAGES ET D’EQUIPEMENTS DE POMPAGE SOLAIRE, DANS LES REGIONS DU BANKUI ET DU GURIKO, AU BURKINA FASO",ungm,WORKS,WORKS,Layer 1,False,1.0
Fourniture et livraison des pneus et extincteurs pour les véhicules du bureau UNMAS,ungm,GOODS,GOODS,Layer 1,False,1.0
DAO 003/2026/ FRBKF - ENGRAIS CHIMIQUES ET ORGANIQUES,ungm,Others,GOODS,NLP,False,0.0731
"136232 - ELABORACIÓN DE PLANES DE MANEJO BOSQUE NATIVO Y DE PLANTACIONES, REGIÓN DE LA ARAUCANÍA",ungm,Others,CONSULTING,Layer 1,False,1.0
"DAO N°TRAVAUX DE REHABILITATION D’UN ABATTOIR FRIGORIFIQUE DANS LA COMMUNE DE BOBO DIOULASSO, REGION DU GUIRIKO - BURKINA FASO",ungm,WORKS,WORKS,Layer 1,False,1.0
FORMATION EN GESTION DES VACCINS,ungm,CONSULTING,CONSULTING,NLP,True,0.0051
Servicio de realización de productos audiovisuales,ungm,Others,NON-CONSULTING,NLP,False,0.0681
PROVISION OF ISO/IEC 17025 ACCREDITATION SERVICES,ungm,Others,CONSULTING,NLP,True,0.0215
JUG Provision of Car Rental Services in Cambodia,ungm,CONSULTING,NON-CONSULTING,Layer 1,False,1.0
Supply of Barcode Scanners and Accessories,ungm,GOODS,GOODS,Layer 1,False,1.0
Achat des équipements pour la connexion internet / supply of IT equipment,ungm,GOODS,GOODS,Layer 1,False,1.0
"Supply,delivery and installation of Laboratory Furniture for Sanitary-Epidemiological Welfare and Public Health (SES) of the Republic of Uzbekistan",ungm,WORKS,WORKS,Layer 1,False,1.0
"Travaux d'installation d'un réseau électrique apparent dans le bâtiment de formation NEDEX au Camp Kassaï à Bangui, République Centrafricaine",ungm,CONSULTING,WORKS,NLP,False,0.1399
PROCUREMENT OF SUV VEHICLES - ITB - 2026/FNLEB/FNLEB/135531,ungm,GOODS,GOODS,Layer 1,False,1.0
"Written translation services (labour law terminology), CO-Kyiv, Ukraine",ungm,NON-CONSULTING,NON-CONSULTING,Layer 1,False,1.0
"Purchase of partitions and drawer units, International Labour Organization CO-Kyiv, Ukraine",ungm,GOODS,GOODS,Layer 1,False,1.0
"Call for External Collaborator – Consultant/Trainer on evidence-based wage negotiation, with a focus on minimum wage setting, International Labour Organization Country Office for Nepal, (CO- Kathmandu)",ungm,CONSULTING,CONSULTING,Layer 1,False,1.0
"ACQUISITION DES PRODUITS VETERINAIRES A LIVRER A KINSHASA, RDC",ungm,Others,GOODS,Layer 1,False,1.0
Third-Party Monitoring (TPM) Services in West Bank and Gaza Strip,ungm,Others,NON-CONSULTING,NLP,True,0.018
"Call for External Collaborators – Writer and editor, Department of Communication and Public Information (DCOMM) / News & Media unit (NEWS)",ungm,Others,CONSULTING,Layer 1,False,1.0
"INVITATION TO BID: Tender no. 2026/FAPHI/FAPHI/136190 - Meals, venue and accommodations for the Disaster Risk Reduction and Management in Agriculture Training for Youth Leaders in Cagayan Province on 21-24 April 2026 in Tuguegarao",ungm,Others,CONSULTING,NLP,True,0.001
Supply and installation of office air-conditioning units,ungm,WORKS,WORKS,Layer 1,False,1.0
Implementation and Monitoring of a Project Environmental and Social Management Plan (ESMP),ungm,CONSULTING,CONSULTING,NLP,False,0.0612
"Call for External Collaborator – Russian-Speaking Trainer for Digital Transformation and Interoperability in Social Protection Course, SOCPRO, International Labour Organization HQ, Geneva",ungm,CONSULTING,CONSULTING,Layer 1,False,1.0
"Call for External Collaborator – Lead Trainer for Digital Transformation and Interoperability in Social Protection Courses in Luanda. SOCPRO, International Labour Organization HQ, Geneva",ungm,CONSULTING,CONSULTING,Layer 1,False,1.0
Supply of On‑Field Tropicalized Motorcycles,ungm,GOODS,GOODS,Layer 1,False,1.0
"Provision of Furniture Items for One Health Units in Baluchistan, Sindh, AJK and KP, Pakistan",ungm,GOODS,GOODS,NLP,False,0.1158
Call for External Collaborators: Development of short video tutorials - Agroforestry Skills for Employment and Resilience (TLS/23/01/EU),ungm,CONSULTING,CONSULTING,Layer 1,False,1.0
Long Term Agreement for the Provision of Hosting arrangements and secretariat support to the Civil Society Engagement Mechanism for UHC2030,ungm,CONSULTING,NON-CONSULTING,NLP,False,0.0478
Long Term Arrangement for Third-Party Logistics – Forwarding/Trucking Services,ungm,Others,NON-CONSULTING,NLP,False,0.047
(RFP) for the Provision of Strategic Leadership Consultancy Services and Organizational Development,ungm,CONSULTING,CONSULTING,Layer 1,False,1.0
"Construction of the Culture and Creative Industries Development Centre (CCID) in Banja Luka, Bosnia and Herzegovina No. 1",ungm,WORKS,WORKS,Layer 1,False,1.0
"THE ESTABLISHMENTOF A FRAME AGREEMENT FOR THE PROVISION OF TRANSPORTATION SERVICE WITHIN RAKHINE STATE, MYANMAR",ungm,NON-CONSULTING,NON-CONSULTING,NLP,True,0.0233
"Evaluability Assessment and Formative Evaluation of the Pilot of Integrated Services for Youth Not in Education, Employment, or Training (NEET) in Thailand",ungm,CONSULTING,CONSULTING,Layer 1,False,1.0
PROVISION OF CONSULTANCY SERVICES FOR THE DEVELOPMENT OF A COSTED NATIONAL DIGITALIZATION ROADMAP FOR CBHI AND SHI IN ETHIOPIA,ungm,CONSULTING,CONSULTING,Layer 1,False,1.0
IMO-2026-RFP-010 - ENVIRONMENTAL RISK IMPACT ASSESSMENT ON UNDERWATER RADIATED NOISE (URN) FROM SHIPPING ACTIVITIES IN ARGENTINA,ungm,CONSULTING,CONSULTING,Layer 1,False,1.0
Support to UNICEF Mozambique engagement around debt-related issues,ungm,CONSULTING,CONSULTING,NLP,False,0.0643
EQUIPMENT AND SUPPLIES FOR THE STRENGTHENING OF REFRIGERANT RECLAMATION AND REGENERATION INFRASTRUCTURE IN ARGENTINA ARGENTINA - HCF C PHASE-OUT MANAGEMENT PLAN (HPMP) Stage II,ungm,WORKS,CONSULTING,NLP,True,0.025
IMO-2026-RFP-011 - ENVIRONMENTAL RISK IMPACT ASSESSMENT ON UNDERWATER RADIATED NOISE (URN) FROM SHIPPING ACTIVITIES IN CHILE,ungm,CONSULTING,CONSULTING,Layer 1,False,1.0
IMO-2026-RFP-012 - ENVIRONMENTAL RISK IMPACT ASSESSMENT ON UNDERWATER RADIATED NOISE (URN) FROM SHIPPING ACTIVITIES IN COSTA RICA,ungm,CONSULTING,CONSULTING,Layer 1,False,1.0
IMO-2026-RFP-013 - ENVIRONMENTAL RISK IMPACT ASSESSMENT ON UNDERWATER RADIATED NOISE (URN) FROM SHIPPING ACTIVITIES IN TRINIDAD AND TOBAGO,ungm,CONSULTING,CONSULTING,Layer 1,False,1.0
Supply of goods relating to essential components for the production and assembly of prosthetic limbs of UNIDO’s 3D-Printed Prostheti cs Programme for Landmine Victims in Nigeria,ungm,GOODS,GOODS,Layer 1,False,1.0
IMO-2026-RFP-014 – IMO/WISTA Women in Maritime Survey 2027 (preparatory and implementation phases),ungm,CONSULTING,CONSULTING,NLP,False,0.0591
ITB 06-2026 - Aquisição de equipamentos laboratóriais destinados ao fortalecimento da rede de laboratórios de saúde pública no Estado do Maranhão,ungm,WORKS,GOODS,Layer 1,False,1.0
"ADB Engagement for Enterprise Search, Electronic Document and Records Management System (EDRMS)",ungm,CONSULTING,CONSULTING,NLP,True,0.0246
“Delivery and technical and warranty service of 2 vehicles”,ungm,GOODS,GOODS,NLP,False,0.0415
Solar System Design and installation,ungm,WORKS,WORKS,NLP,False,0.0938
FOURNITURE D’EQUIPEMENTS INFORMATIQUES,ungm,GOODS,CONSULTING,NLP,True,0.0134
Consultancy services for supporting Ministry of Primary and Secondary Education (MoPSE) on School Improvement Grant (SIG) verifications and rapid assessments -Long Term Arrangement (LTA),ungm,CONSULTING,CONSULTING,Layer 1,False,1.0
Consultancy service for ground water mapping for climate resilience in low land pastoral areas of Ethiopia bordering Somalia and Kenya using desktop data and information analysis and remote sensing; g,ungm,CONSULTING,CONSULTING,Layer 1,False,1.0
Provision of Consultancy Services to Deliver a Capacity Building Programme (Technical Training) under the Project: “Promoting Busine ss Models for Increasing Penetration and Scaling Up of Solar Energy in India,ungm,CONSULTING,CONSULTING,Layer 1,False,1.0
Organization/Company to deliver tech programme for women-led startups in Moldova,ungm,CONSULTING,CONSULTING,NLP,True,0.0228
Provision of Actuarial Valuation of ICAO End of Service Benefits,ungm,CONSULTING,NON-CONSULTING,NLP,False,0.0704
"Réalisation d’une étude de référence (Baseline) du projet Eau, Résilience Climatique et Consolidation de la Paix",ungm,CONSULTING,WORKS,NLP,False,0.0077
Construction of Main Water Supply Line at Ayub Ghot Main Road to Chota Gabol Chowk in Karachi Pakistan,ungm,WORKS,WORKS,Layer 1,False,1.0
Supply and delivery of Personal Protection Equipment (PPE) Fourniture et livraison d’équipements de protection individuelle (EPI),ungm,GOODS,GOODS,Layer 1,False,1.0
Purpose: Purchase of Services related to Technical Training Program for Food Processing,ungm,CONSULTING,GOODS,NLP,False,0.0325
Purpose: Purchase of Services related to Technical Training Program for Harvesting and Processing,ungm,CONSULTING,GOODS,NLP,False,0.021
Purpose: Purchase of Services related to Technical Training Program for Renewable Energy,ungm,CONSULTING,CONSULTING,NLP,True,0.0017
"Lease of Office Space in Barrancabermeja, Colombia",ungm,NON-CONSULTING,NON-CONSULTING,NLP,False,0.0758
EOI_Provision of Group Medical Insurance Plans for UNDP affiliated workforce,ungm,CONSULTING,NON-CONSULTING,Layer 1,False,1.0
Digital CSE Support,ungm,Others,GOODS,NLP,False,0.0054
Supply and delivery of bicycles for parasocial workers in various refugee settlements in Uganda under Kampala Country Office to be delivered to Kiryandongo warehouse - Kiryandongo District,ungm,GOODS,GOODS,Layer 1,False,1.0
Asset Liability Management Study for the United Nations Joint Staff Pension Fund,ungm,CONSULTING,CONSULTING,NLP,False,0.1382
Provision of services related to third-party organic certification for cocoa cooperatives in Nimba and Lofa counties of Liberia,ungm,Others,GOODS,NLP,False,0.0152
"FOR THE RENOVATION OF CLASSROOMS IN MALKOHI, ADAMAWA STATE",ungm,WORKS,WORKS,Layer 1,False,1.0
